Instrument,Quote,Underlying,Start date,Maturity
EON1W,0.070,Eonia,13 Dec 2012,20 Dec 2012
EON2W,0.069,Eonia,13 Dec 2012,27 Dec 2012
EON3W,0.078,Eonia,13 Dec 2012,03 Jan 2013
EON1M,0.074,Eonia,13 Dec 2012,14 Jan 2013
EON2M,0.061,Eonia,13 Dec 2012,13 Feb 2013
EON3M,0.047,Eonia,13 Dec 2012,13 Mar 2013
EON4M,0.033,Eonia,13 Dec 2012,15 Apr 2013
EON5M,0.024,Eonia,13 Dec 2012,13 May 2013
EON6M,0.018,Eonia,13 Dec 2012,13 Jun 2013
EON7M,0.013,Eonia,13 Dec 2012,15 Jul 2013
EON8M,0.009,Eonia,13 Dec 2012,13 Aug 2013
EON9M,0.005,Eonia,13 Dec 2012,13 Sep 2013
EON10M,0.003,Eonia,13 Dec 2012,14 Oct 2013
EON11M,0.001,Eonia,13 Dec 2012,13 Nov 2013
EON1Y,0.000,Eonia,13 Dec 2012,13 Dec 2013
EON15M,0.002,Eonia,13 Dec 2012,13 Mar 2014
EON18M,0.008,Eonia,13 Dec 2012,13 Jun 2014
EON21M,0.021,Eonia,13 Dec 2012,15 Sep 2014
EON2Y,0.036,Eonia,13 Dec 2012,15 Dec 2014
EON3Y,0.127,Eonia,13 Dec 2012,14 Dec 2015
EON4Y,0.274,Eonia,13 Dec 2012,13 Dec 2016
EON5Y,0.456,Eonia,13 Dec 2012,13 Dec 2017
EON6Y,0.647,Eonia,13 Dec 2012,13 Dec 2018
EON7Y,0.827,Eonia,13 Dec 2012,13 Dec 2019
EON8Y,0.996,Eonia,13 Dec 2012,14 Dec 2020
EON9Y,1.147,Eonia,13 Dec 2012,13 Dec 2021
EON10Y,1.280,Eonia,13 Dec 2012,13 Dec 2022
EON11Y,1.404,Eonia,13 Dec 2012,13 Dec 2023
EON12Y,1.516,Eonia,13 Dec 2012,13 Dec 2024
EON15Y,1.764,Eonia,13 Dec 2012,13 Dec 2027
EON20Y,1.939,Eonia,13 Dec 2012,13 Dec 2032
EON25Y,2.003,Eonia,13 Dec 2012,14 Dec 2037
EON30Y,2.038,Eonia,13 Dec 2012,15 Dec 2042
EONECBFEB13,0.046,Eonia,16 Jan 2013,13 Feb 2013
EONECBMAR13,0.016,Eonia,13 Feb 2013,13 Mar 2013
EONECBAPR13,-0.007,Eonia,13 Mar 2013,10 Apr 2013
EONECBMAY13,-0.013,Eonia,10 Apr 2013,8 May 2013
EONECBJUN13,-0.014,Eonia,8 May 2013,12 Jun 2013
EONECBJUL13,-0.016,Eonia,12 Jun 2013,10 Jul 2013
