Bootstrapping instrument,Quote,Settlement days,Tenor,Start date,End date
EUR_YC_OND,0.0400,0,1D,11 Dec 2012,12 Dec 2012
EUR_YC_TND,0.0400,1,1D,12 Dec 2012,13 Dec 2012
EUR_YC_SND,0.0400,2,1D,13 Dec 2012,14 Dec 2012
EUR_YC_EONSW,0.0700,2,1W,13 Dec 2012,20 Dec 2012
EUR_YC_EON2W,0.0690,2,2W,13 Dec 2012,27 Dec 2012
EUR_YC_EON3W,0.0780,2,3W,13 Dec 2012,03 Jan 2013
EUR_YC_EON1M,0.0740,2,1M,13 Dec 2012,14 Jan 2013
EUR_YC_EONECBJAN13,0.0460,,,16 Jan 2013,13 Feb 2013
EUR_YC_EONECBFEB13,0.0160,,,13 Feb 2013,13 Mar 2013
EUR_YC_EONECBMAR13,-0.0070,,,13 Mar 2013,10 Apr 2013
EUR_YC_EONECBAPR13,-0.0130,,,10 Apr 2013,08 May 2013
EUR_YC_EONECBMAY13,-0.0140,,,08 May 2013,12 Jun 2013
EUR_YC_EON15M,0.0020,2,15M,13 Dec 2012,13 Mar 2014
EUR_YC_EON18M,0.0080,2,18M,13 Dec 2012,13 Jun 2014
EUR_YC_EON21M,0.0210,2,21M,13 Dec 2012,15 Sep 2014
EUR_YC_EON2Y,0.0360,2,2Y,13 Dec 2012,15 Dec 2014
EUR_YC_EON3Y,0.1270,2,3Y,13 Dec 2012,14 Dec 2015
EUR_YC_EON4Y,0.2740,2,4Y,13 Dec 2012,13 Dec 2016
EUR_YC_EON5Y,0.4560,2,5Y,13 Dec 2012,13 Dec 2017
EUR_YC_EON6Y,0.6470,2,6Y,13 Dec 2012,13 Dec 2018
EUR_YC_EON7Y,0.8270,2,7Y,13 Dec 2012,13 Dec 2019
EUR_YC_EON8Y,0.9960,2,8Y,13 Dec 2012,14 Dec 2020
EUR_YC_EON9Y,1.1470,2,9Y,13 Dec 2012,13 Dec 2021
EUR_YC_EON10Y,1.2800,2,10Y,13 Dec 2012,13 Dec 2022
EUR_YC_EON11Y,1.4040,2,11Y,13 Dec 2012,13 Dec 2023
EUR_YC_EON12Y,1.5160,2,12Y,13 Dec 2012,13 Dec 2024
EUR_YC_EON15Y,1.7640,2,15Y,13 Dec 2012,13 Dec 2027
EUR_YC_EON20Y,1.9390,2,20Y,13 Dec 2012,13 Dec 2032
EUR_YC_EON25Y,2.0030,2,25Y,13 Dec 2012,14 Dec 2037
EUR_YC_EON30Y,2.0380,2,30Y,13 Dec 2012,15 Dec 2042
