Instrument,Quote,Underlying,Start date,Maturity date
FRA Tod3M,0.181,Euribor3M,13 Dec 2012,13 Mar 2013
FRA Tom3M,0.179,Euribor3M,14 Dec 2012,14 Mar 2013
FRA 1x4,0.165,Euribor3M,14 Jan 2013,15 Apr 2013
FRA 2x5,0.141,Euribor3M,13 Feb 2013,13 May 2013
FRA 3x6,0.129,Euribor3M,13 Mar 2013,13 Jun 2013
FRA 4x7,0.126,Euribor3M,15 Apr 2013,15 Jul 2013
FRA 5x8,0.124,Euribor3M,13 May 2013,13 Aug 2013
FRA 6x9,0.121,Euribor3M,13 Jun 2013,13 Sep 2013
FRA Tod6M,0.316,Euribor6M,13 Dec 2012,13 Jun 2013
FRA Tom6M,0.312,Euribor6M,14 Dec 2012,14 Jun 2013
FRA 1x7,0.293,Euribor6M,14 Jan 2013,15 Jul 2013
FRA 2x8,0.272,Euribor6M,13 Feb 2013,13 Aug 2013
FRA 3x9,0.260,Euribor6M,13 Mar 2013,13 Sep 2013
FRA 4x10,0.256,Euribor6M,15 Apr 2013,15 Oct 2013
FRA 5x11,0.252,Euribor6M,13 May 2013,13 Nov 2013
FRA 6x12,0.248,Euribor6M,13 Jun 2013,13 Dec 2013
FRA 7x13,0.254,Euribor6M,15 Jul 2013,15 Jan 2014
FRA 8x14,0.261,Euribor6M,13 Aug 2013,13 Feb 2014
FRA 9x15,0.267,Euribor6M,13 Sep 2013,13 Mar 2014
FRA 10x16,0.279,Euribor6M,14 Oct 2013,14 Apr 2014
FRA 11x17,0.291,Euribor6M,13 Nov 2013,13 May 2014
FRA 12x18,0.303,Euribor6M,13 Dec 2013,13 Jun 2014
FRA 13x19,0.318,Euribor6M,13 Jan 2014,14 Jul 2014
FRA 14x20,0.335,Euribor6M,13 Feb 2014,13 Aug 2014
FRA 15x21,0.352,Euribor6M,13 Mar 2014,15 Sep 2014
FRA 16x22,0.371,Euribor6M,14 Apr 2014,14 Oct 2014
FRA 17x23,0.389,Euribor6M,13 May 2014,13 Nov 2014
FRA 18x24,0.409,Euribor6M,13 Jun 2014,15 Dec 2014
FRA 12x24,0.507,Euribor12M,13 Dec 2013,15 Dec 2014
FRA IMMF3,99.7110,Euribor6M,16 Jan 2013,16 Jul 2013
FRA IMMG3,99.7310,Euribor6M,20 Feb 2013,20 Aug 2013
FRA IMMH3,99.7410,Euribor6M,20 Mar 2013,20 Sep 2013
FRA IMMJ3,99.7450,Euribor6M,17 Apr 2013,17 Oct 2013
