Bootstrapping instrument,Quote,Settlement days,Tenor,Start date,End date
EUR_YC1M_SND,0.0661,2,1D,13 Dec 2012,14 Dec 2012
EUR_YC1M_SWD,0.0980,2,1W,13 Dec 2012,20 Dec 2012
EUR_YC1M_2WD,0.0993,2,2W,13 Dec 2012,27 Dec 2012
EUR_YC1M_3WD,0.1105,2,3W,13 Dec 2012,03 Jan 2013
EUR_YC1M_1MD,0.1100,2,1M,13 Dec 2012,14 Jan 2013
EUR_YC1M_2X1S,0.1060,2,2M,13 Dec 2012,13 Feb 2013
EUR_YC1M_3X1S,0.0960,2,3M,13 Dec 2012,13 Mar 2013
EUR_YC1M_4X1S,0.0850,2,4M,13 Dec 2012,15 Apr 2013
EUR_YC1M_5X1S,0.0790,2,5M,13 Dec 2012,13 May 2013
EUR_YC1M_6X1S,0.0750,2,6M,13 Dec 2012,13 Jun 2013
EUR_YC1M_7X1S,0.0710,2,7M,13 Dec 2012,15 Jul 2013
EUR_YC1M_8X1S,0.0690,2,8M,13 Dec 2012,13 Aug 2013
EUR_YC1M_9X1S,0.0660,2,9M,13 Dec 2012,13 Sep 2013
EUR_YC1M_10X1S,0.0650,2,10M,13 Dec 2012,14 Oct 2013
EUR_YC1M_11X1S,0.0640,2,11M,13 Dec 2012,13 Nov 2013
EUR_YC1M_12X1S,0.0630,2,12M,13 Dec 2012,13 Dec 2013
EUR_YC1M_AB1EBASIS2Y,22.6,2,2Y,13 Dec 2012,15 Dec 2014
EUR_YC1M_AB1EBASIS3Y,23.8,2,3Y,13 Dec 2012,14 Dec 2015
EUR_YC1M_AB1EBASIS4Y,24.6,2,4Y,13 Dec 2012,13 Dec 2016
EUR_YC1M_AB1EBASIS5Y,25.0,2,5Y,13 Dec 2012,13 Dec 2017
EUR_YC1M_AB1EBASIS6Y,25.0,2,6Y,13 Dec 2012,13 Dec 2018
EUR_YC1M_AB1EBASIS7Y,24.8,2,7Y,13 Dec 2012,13 Dec 2019
EUR_YC1M_AB1EBASIS8Y,24.5,2,8Y,13 Dec 2012,14 Dec 2020
EUR_YC1M_AB1EBASIS9Y,24.1,2,9Y,13 Dec 2012,13 Dec 2021
EUR_YC1M_AB1EBASIS10Y,23.7,2,10Y,13 Dec 2012,13 Dec 2022
EUR_YC1M_AB1EBASIS12Y,22.8,2,12Y,13 Dec 2012,13 Dec 2024
EUR_YC1M_AB1EBASIS15Y,21.1,2,15Y,13 Dec 2012,13 Dec 2027
EUR_YC1M_AB1EBASIS20Y,18.9,2,20Y,13 Dec 2012,13 Dec 2032
EUR_YC1M_AB1EBASIS25Y,17.5,2,25Y,13 Dec 2012,14 Dec 2037
EUR_YC1M_AB1EBASIS30Y,16.3,2,30Y,13 Dec 2012,15 Dec 2042
